City/Town,Ward,Pct,"Mark A. Macdonald",Write-Ins,Blanks,"Total Votes Cast"
,,,
Braintree,,,32,0,0,32
Brookfield,,,31,0,0,31
Chelsea,,,27,0,0,27
Corinth,,,61,1,0,62
Randolph,,,161,2,0,163
Strafford,,,53,0,0,53
Thetford,,,82,1,0,83
Tunbridge,,,40,0,0,40
Vershire,,,31,1,0,32
Washington,,,16,0,0,16
Williamstown,,,23,1,0,24
TOTALS,,,557,6,0,563
