City/Town,Ward,Pct,"John McCain","Mike Huckabee","Ron Paul","Mitt Romney","Rudy Giuliani",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,,,,,
Addison,,,111,28,2,14,1,0,0,0,156
Albany,,,38,9,3,3,2,0,0,0,55
Alburgh,,,114,18,9,8,1,1,0,0,151
Andover,,,36,7,1,1,2,0,0,0,47
Arlington,,,137,36,5,10,3,0,0,0,191
Athens,,,18,6,1,0,0,0,0,0,25
Bakersfield,,,42,12,4,2,3,2,0,0,65
Baltimore,,,11,4,3,2,1,0,0,0,21
Barnard,,,57,13,2,6,0,0,0,0,78
Barnet,,,73,23,13,4,0,1,0,0,114
"Barre City",,,402,79,30,29,11,5,0,0,556
"Barre Town",,,557,130,44,32,11,1,0,0,775
Barton,,,115,22,11,2,2,7,0,0,159
Belvidere,,,13,7,1,0,1,0,0,0,22
Bennington,-,1,29,8,2,0,4,0,0,0,43
Bennington,-,"Bennington 2-1 And 2-2",452,98,29,28,15,0,0,0,622
Benson,,,67,17,7,7,4,0,0,0,102
Berkshire,,,79,16,5,3,4,0,0,0,107
Berlin,,,123,29,12,9,4,0,0,0,177
Bethel,,,43,38,5,3,2,3,0,0,94
Bloomfield,,,15,3,1,2,0,0,0,0,21
Bolton,,,65,5,5,3,1,1,0,0,80
Bradford,,,97,8,19,12,1,7,0,0,144
Braintree,,,48,12,7,1,1,3,0,0,72
Brandon,,,228,60,13,10,14,3,0,0,328
Brattleboro,,,446,80,22,26,9,0,0,0,583
Bridgewater,,,47,4,2,4,2,4,0,0,63
Bridport,,,85,21,13,3,7,0,0,0,129
Brighton,,,126,50,11,6,13,0,0,0,206
Bristol,,,180,37,12,14,6,2,0,0,251
Brookfield,,,61,18,8,5,1,0,0,0,93
Brookline,,,26,7,1,1,1,0,0,0,36
Brownington,,,20,12,5,0,1,0,0,0,38
Brunswick,,,4,0,1,0,1,0,0,0,6
Burke,,,107,25,12,4,2,0,0,0,150
Burlington,-,"Chittenden Ward 1",69,12,29,2,2,2,0,0,116
Burlington,-,"Chittenden Ward 2",42,6,25,0,2,1,0,0,76
Burlington,-,"Chittenden Ward 3",53,7,49,3,2,4,0,0,118
Burlington,-,"Chittenden Ward 4",264,39,20,13,10,4,0,0,350
Burlington,-,"Chittenden Ward 5",156,20,32,4,0,4,0,0,216
Burlington,-,"Chittenden Ward 6",131,7,25,14,1,1,0,0,179
Burlington,-,"Chittenden Ward 7",264,39,29,28,8,1,0,0,369
Cabot,,,75,24,15,5,4,1,0,0,124
Calais,,,72,14,5,3,4,2,0,0,100
Cambridge,,,177,34,12,12,5,3,0,0,243
Canaan,,,77,12,7,1,2,1,0,0,100
Castleton,,,262,55,8,21,14,5,0,0,365
Cavendish,,,56,26,5,5,3,1,0,0,96
Charleston,,,38,10,5,2,0,2,0,0,57
Charlotte,,,183,11,24,19,6,0,0,0,243
Chelsea,,,70,9,4,5,1,0,0,0,89
Chester,,,174,49,16,6,4,1,0,0,250
Chittenden,,,96,28,8,4,5,0,0,0,141
Clarendon,,,169,47,11,14,7,3,0,0,251
Colchester,-,"Chittenden 7-1",288,55,33,21,11,4,0,0,412
Colchester,-,"Chittenden 7-2",454,50,44,35,18,5,0,0,606
Concord,,,87,15,6,4,3,2,0,0,117
Corinth,,,71,22,13,8,3,0,0,0,117
Cornwall,,,66,14,5,1,1,1,0,0,88
Coventry,,,38,8,2,7,2,0,0,0,57
Craftsbury,,,45,4,7,1,0,1,0,0,58
Danby,,,90,30,3,1,6,0,0,0,130
Danville,,,121,23,4,8,1,0,0,0,157
Derby,,,196,60,14,19,1,8,0,0,298
Dorset,,,143,20,4,7,4,0,0,0,178
Dover,,,118,15,1,9,6,1,0,0,150
Dummerston,,,94,15,5,6,0,0,0,0,120
Duxbury,,,58,9,7,5,1,4,0,0,84
"E. Haven",,,28,5,7,2,1,2,0,0,45
"E. Montpelier",,,158,18,11,14,3,3,0,0,207
Eden,,,40,3,2,1,1,0,0,0,47
Elmore,,,22,7,1,2,0,0,0,0,32
Enosburgh,,,69,16,9,7,2,0,0,0,103
Essex,-,"Chittenden 6-1 And 6-3",414,90,45,24,7,5,0,0,585
Essex,-,"Chittenden 6-2",317,61,42,16,9,2,0,0,447
"Fair Haven",,,148,26,16,11,2,2,0,0,205
Fairfax,,,178,54,23,17,7,1,0,0,280
Fairfield,,,64,7,4,1,2,0,0,0,78
Fairlee,,,52,5,4,2,3,1,0,0,67
Fayston,,,33,8,4,0,1,2,0,0,48
Ferrisburgh,,,159,35,23,12,7,2,0,0,238
Fletcher,,,26,13,6,0,0,0,0,0,45
Franklin,,,56,28,3,6,2,1,0,0,96
Georgia,,,255,46,20,26,5,1,0,0,353
Glover,,,51,6,5,2,1,0,0,0,65
Goshen,,,22,4,1,3,4,0,0,0,34
Grafton,,,41,3,4,2,3,1,0,0,54
Granby,,,10,4,0,1,0,0,0,0,15
"Grand Isle",,,125,14,11,10,3,1,0,0,164
Granville,,,9,3,0,2,1,0,0,0,15
Greensboro,,,27,2,3,2,0,0,0,0,34
Groton,,,56,17,12,2,0,1,0,0,88
Guildhall,,,31,5,3,0,3,2,0,0,44
Guilford,,,69,28,3,4,2,0,0,0,106
Halifax,,,60,22,3,5,2,0,0,0,92
Hancock,,,11,1,3,0,0,0,0,0,15
Hardwick,,,113,20,18,5,5,0,0,0,161
Hartford,,,431,83,22,36,7,7,0,0,586
Hartland,,,177,41,16,12,8,5,0,0,259
Highgate,,,122,20,1,10,1,4,0,0,158
Hinesburg,,,205,34,29,10,10,1,0,0,289
Holland,,,31,9,4,3,0,1,0,0,48
Hubbardton,,,48,10,4,3,4,1,0,0,70
Huntington,,,45,8,10,8,0,1,0,0,72
"Hyde Park",,,88,30,6,5,3,6,0,0,138
Ira,,,16,14,3,4,3,0,0,0,40
Irasburg,,,37,24,4,1,1,2,0,0,69
"Isle La Motte",,,39,10,1,5,1,0,0,0,56
Jamaica,,,31,10,2,1,1,1,0,0,46
Jay,,,18,0,0,1,2,0,0,0,21
Jericho,,,246,67,33,16,3,2,0,0,367
Johnson,,,77,19,12,4,1,1,0,0,114
Killington,,,58,7,4,4,4,0,0,0,77
Kirby,,,18,9,6,0,1,0,0,0,34
Landgrove,,,9,1,0,2,0,0,0,0,12
Leicester,,,77,24,7,4,4,4,0,0,120
Lemington,,,7,3,1,0,0,0,0,0,11
Lincoln,,,77,5,7,6,1,0,0,0,96
Londonderry,,,71,8,5,0,3,2,0,0,89
Lowell,,,25,18,4,1,1,0,0,0,49
Ludlow,,,134,33,5,11,7,2,0,0,192
Lunenburg,,,97,24,7,5,3,2,0,0,138
Lyndon,,,207,47,27,10,3,2,0,0,296
Maidstone,,,18,2,0,0,0,1,0,0,21
Manchester,,,248,40,12,11,7,3,0,0,321
Marlboro,,,27,4,0,0,0,0,0,0,31
Marshfield,,,58,7,6,6,3,2,0,0,82
Mendon,,,71,13,3,0,2,0,0,0,89
Middlebury,,,241,40,22,12,11,3,0,0,329
Middlesex,,,81,11,6,6,0,2,0,0,106
"Middletown Springs",,,63,15,3,1,3,0,0,0,85
Milton,,,585,86,50,38,14,3,0,0,776
Monkton,,,102,22,11,4,4,2,0,0,145
Montgomery,,,22,13,6,2,0,0,0,0,43
Montpelier,,,285,42,32,19,11,3,0,0,392
Moretown,,,123,16,11,4,2,0,0,0,156
Morgan,,,48,12,5,3,2,1,0,0,71
Morristown,,,196,42,27,8,10,1,0,0,284
"Mount Holly",,,71,17,15,6,6,0,0,0,115
"Mount Tabor",,,15,4,1,1,0,0,0,0,21
"New Haven",,,120,14,12,5,6,0,0,0,157
Newark,,,26,5,14,1,0,1,0,0,47
Newbury,,,79,14,15,6,2,0,0,0,116
Newfane,,,57,9,1,5,0,0,0,0,72
"Newport City",,,199,53,21,13,7,0,0,0,293
"Newport Town",,,52,15,5,8,1,2,0,0,83
"N. Hero",,,76,19,5,1,3,0,0,0,104
Northfield,,,280,45,33,9,6,3,0,0,376
Norton,,,16,2,1,2,0,1,0,0,22
Norwich,,,107,16,6,5,3,4,0,0,141
Orange,,,62,17,4,7,4,1,0,0,95
Orwell,,,86,10,4,8,5,0,0,0,113
Panton,,,40,14,6,1,0,0,0,0,61
Pawlet,,,110,22,5,6,6,0,0,0,149
Peacham,,,24,9,5,1,1,0,0,0,40
Peru,,,22,0,1,0,2,0,0,0,25
Pittsfield,,,32,1,2,0,1,0,0,0,36
Pittsford,,,196,38,22,8,7,4,0,0,275
Plainfield,,,46,8,14,2,2,0,0,0,72
Plymouth,,,36,9,3,3,0,1,0,0,52
Pomfret,,,39,8,3,4,1,1,0,0,56
Poultney,,,141,35,16,10,5,0,0,0,207
Pownal,,,151,62,13,10,6,0,0,0,242
Proctor,,,86,10,4,6,1,0,0,0,107
Putney,,,62,12,6,0,1,0,0,0,81
Randolph,,,240,49,24,18,5,6,0,0,342
Reading,,,38,4,2,2,1,0,0,0,47
Readsboro,,,64,11,0,3,2,2,0,0,82
Richford,,,93,17,7,8,4,1,0,0,130
Richmond,,,199,53,22,14,7,1,0,0,296
Ripton,,,15,4,0,2,0,0,0,0,21
Rochester,,,29,6,5,1,2,0,0,0,43
Rockingham,,,191,32,22,11,5,6,0,0,267
Roxbury,,,25,6,10,2,1,0,0,0,44
Royalton,,,127,25,13,12,7,5,0,0,189
Rupert,,,51,15,0,3,3,0,0,0,72
"Rutland City",-,"Rutland Ward 1",253,45,18,14,14,4,0,0,348
"Rutland City",-,"Rutland Ward 2",243,34,9,14,9,3,0,0,312
"Rutland City",-,"Rutland Ward 3",134,24,11,7,8,2,0,0,186
"Rutland City",-,"Rutland Ward 4",199,29,16,9,10,6,0,0,269
"Rutland Town",,,287,40,10,15,14,1,0,0,367
Ryegate,,,49,15,7,3,1,0,0,0,75
Salisbury,,,47,6,4,3,6,0,0,0,66
Sandgate,,,13,6,3,4,0,0,0,0,26
Searsburg,,,9,2,0,2,1,0,0,0,14
Shaftsbury,,,196,40,9,20,4,10,0,0,279
Sharon,,,66,11,10,5,1,1,0,0,94
Sheffield,,,23,12,7,0,0,0,0,0,42
Shelburne,,,490,49,37,49,12,5,0,0,642
Sheldon,,,51,14,8,1,1,3,0,0,78
Shoreham,,,55,15,8,6,1,1,0,0,86
Shrewsbury,,,88,7,7,2,4,2,0,0,110
"S. Burlington",-,"Chittenden 3-10",127,13,12,11,3,1,0,0,167
"S. Burlington",-,"Chittenden 3-7",168,16,11,8,2,0,0,0,205
"S. Burlington",-,"Chittenden 3-8",210,30,21,14,3,3,0,0,281
"S. Burlington",-,"Chittenden 3-9",168,19,18,9,8,2,0,0,224
"S. Hero",,,131,16,7,6,4,2,0,0,166
Springfield,,,509,112,55,35,20,7,0,0,738
"St. Albans City",,,229,35,24,19,9,0,0,0,316
"St. Albans Town",,,341,44,23,24,4,0,0,0,436
"St. George",,,24,4,1,1,1,0,0,0,31
"St. Johnsbury",,,356,89,33,20,10,5,0,0,513
Stamford,,,60,13,6,1,1,0,0,0,81
Stannard,,,11,1,1,1,0,0,0,0,14
Starksboro,,,47,14,8,5,1,0,0,0,75
Stockbridge,,,28,1,3,1,0,0,0,0,33
Stowe,,,335,33,12,5,12,2,0,0,399
Strafford,,,26,6,1,4,0,2,0,0,39
Stratton,,,22,2,3,0,0,0,0,0,27
Sudbury,,,29,6,4,3,3,0,0,0,45
Sunderland,,,55,14,2,5,1,0,0,0,77
Sutton,,,41,9,2,4,2,4,0,0,62
Swanton,,,317,54,17,16,8,4,0,0,416
Thetford,,,121,19,7,13,2,6,0,0,168
Tinmouth,,,62,8,2,1,7,1,0,0,81
Topsham,,,52,13,5,0,2,0,0,0,72
Townshend,,,32,10,6,1,1,1,0,0,51
Troy,,,30,7,3,0,1,0,0,0,41
Tunbridge,,,7,51,6,3,3,0,0,0,70
Underhill,,,186,31,23,14,4,2,0,0,260
Vergennes,,,104,34,16,7,3,0,0,0,164
Vernon,,,186,59,6,12,6,2,0,0,271
Vershire,,,52,11,4,0,1,1,0,0,69
Victory,,,5,2,2,0,0,1,0,0,10
Waitsfield,,,103,10,11,7,10,1,0,0,142
Walden,,,59,6,4,3,1,0,0,0,73
Wallingford,,,141,35,7,12,12,0,0,0,207
Waltham,,,15,10,5,1,2,0,0,0,33
Wardsboro,,,46,6,0,1,0,0,0,0,53
Warren,,,66,4,11,5,2,1,0,0,89
Washington,,,47,14,7,2,2,0,0,0,72
Waterbury,,,234,46,10,11,10,2,0,0,313
Waterford,,,90,31,2,2,3,0,0,0,128
Waterville,,,24,5,0,6,0,0,0,0,35
Weathersfield,,,133,29,14,8,6,0,0,0,190
Wells,,,65,16,5,5,5,3,0,0,99
"W. Fairlee",,,58,8,4,3,2,0,0,0,75
"W. Haven",,,21,4,1,1,0,0,0,0,27
"W. Rutland",,,147,38,9,22,12,7,0,0,235
"W. Windsor",,,56,10,4,3,0,2,0,0,75
Westfield,,,35,7,5,2,0,0,0,0,49
Westford,,,75,17,10,10,1,2,0,0,115
Westminster,,,108,10,9,12,6,0,0,0,145
Westmore,,,18,5,0,0,0,0,0,0,23
Weston,,,48,5,3,3,1,1,0,0,61
Weybridge,,,38,6,3,2,1,0,0,0,50
Wheelock,,,37,15,6,0,1,1,0,0,60
Whiting,,,13,9,1,0,2,2,0,0,27
Whitingham,,,86,13,5,2,1,1,0,0,108
Williamstown,,,153,39,21,11,3,2,0,0,229
Williston,,,493,95,59,31,10,1,0,0,689
Wilmington,,,126,26,4,5,10,0,0,0,171
Windham,,,10,0,0,1,0,0,0,0,11
Windsor,,,162,32,12,9,11,2,0,0,228
Winhall,,,52,7,1,2,0,1,0,0,63
Winooski,,,140,32,22,8,4,1,0,0,207
Wolcott,,,33,15,2,0,0,1,0,0,51
Woodbury,,,51,18,5,2,0,2,0,0,78
Woodford,,,18,1,2,1,1,0,0,0,23
Woodstock,,,218,38,16,12,4,3,0,0,291
Worcester,,,49,16,7,1,2,0,0,0,75
TOTALS,,,"28,417","5,698","2,635","1,809",931,353,0,0,"39,843"
