City/Town,Ward,Pct,"Willem Jewett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cornwall,,,65,0,0,65
Goshen,,,16,0,0,16
Hancock,,,8,0,0,8
Leicester,,,40,1,0,41
Ripton,,,42,0,0,42
Salisbury,,,27,0,0,27
TOTALS,,,198,1,0,199
