City/Town,Ward,Pct,"Clement Bissonnette","Kenneth W. Atkins",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,,,48,35,0,0,83
Winooski,,,95,92,4,0,191
TOTALS,,,143,127,4,0,274
