City/Town,Ward,Pct,"William H. Sorrell",Write-Ins,Blanks,"Total Votes Cast"
Royalton,,,54,1,0,55
Rupert,,,38,0,0,38
"Rutland City",-,"Rutland 5-1",123,1,0,124
"Rutland City",-,"Rutland 5-2",111,0,0,111
"Rutland City",-,"Rutland 5-3",57,2,0,59
"Rutland City",-,"Rutland 5-4",66,0,0,66
"Rutland Town",,,341,0,0,341
Ryegate,,,33,1,0,34
Salisbury,,,23,2,0,25
Sandgate,,,21,0,0,21
Searsburg,,,3,1,0,4
Shaftsbury,,,120,2,0,122
Sharon,,,32,0,0,32
Sheffield,,,10,1,0,11
Shelburne,-,"Chittenden 5-1",203,0,0,203
Shelburne,-,"Chittenden 5-2",93,1,0,94
Sheldon,,,38,0,0,38
Shoreham,,,38,1,0,39
Shrewsbury,,,130,0,0,130
"S. Burlington",-,"Chittenden 3-10",130,0,0,130
"S. Burlington",-,"Chittenden 3-7",159,0,0,159
"S. Burlington",-,"Chittenden 3-8",182,2,0,184
"S. Burlington",-,"Chittenden 3-9",131,1,0,132
"S. Hero",,,53,0,0,53
Springfield,-,"Windsor 1-1",1,0,0,1
Springfield,-,"Windsor 1-2",778,9,0,787
"St. Albans City",,,117,1,0,118
"St. Albans Town",,,172,2,0,174
"St. George",,,18,0,0,18
"St. Johnsbury",,,128,2,0,130
Stamford,,,30,0,0,30
Stannard,,,10,2,0,12
Starksboro,,,54,0,0,54
Stockbridge,,,29,0,0,29
Stowe,,,41,1,0,42
Strafford,,,49,0,0,49
Stratton,,,3,1,0,4
Sudbury,,,18,0,0,18
Sunderland,,,19,0,0,19
Sutton,,,9,0,0,9
Swanton,,,113,2,0,115
Thetford,,,80,1,0,81
Tinmouth,,,61,0,0,61
Topsham,,,19,0,0,19
Townshend,,,53,1,0,54
Troy,,,23,0,0,23
Tunbridge,,,39,1,0,40
Underhill,,,132,0,0,132
Vergennes,,,37,0,0,37
Vernon,,,44,1,0,45
Vershire,,,29,2,0,31
Victory,,,4,0,0,4
Waitsfield,,,74,0,0,74
Walden,,,23,0,0,23
Wallingford,,,125,0,0,125
Waltham,,,7,0,0,7
Wardsboro,,,20,0,0,20
Warren,,,51,0,0,51
Washington,,,16,0,0,16
Waterbury,,,310,1,0,311
Waterford,,,9,0,0,9
Waterville,,,4,0,0,4
Weathersfield,,,76,2,0,78
Wells,,,18,0,0,18
"W. Fairlee",,,24,0,0,24
"W. Haven",,,5,0,0,5
"W. Rutland",,,63,0,0,63
"W. Windsor",,,38,0,0,38
Westfield,,,11,0,0,11
Westford,,,43,2,0,45
Westminster,-,"Windham 4",11,2,0,13
Westminster,-,"Windham 5",356,3,0,359
Westmore,,,12,0,0,12
Weston,,,26,0,0,26
Weybridge,,,33,0,0,33
Wheelock,,,14,1,0,15
Whiting,,,17,0,0,17
Whitingham,,,28,2,0,30
Williamstown,,,20,0,0,20
Williston,,,179,0,0,179
Wilmington,,,40,0,0,40
Windham,,,27,0,0,27
Windsor,,,85,1,0,86
Winhall,,,13,1,0,14
Winooski,,,104,0,0,104
Wolcott,,,53,1,0,54
Woodbury,,,39,2,0,41
Woodford,,,11,0,0,11
Woodstock,,,137,0,0,137
Worcester,,,51,0,0,51
TOTALS,,,"18,839",176,0,"19,015"
