City/Town,Ward,Pct,"Linda L. Vance",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cabot,,,14,1,0,15
Danville,,,77,9,0,86
Peacham,,,23,0,0,23
TOTALS,,,114,10,0,124
