City/Town,Ward,Pct,"Norman H. McAllister","Albert Pearce",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berkshire,,,22,27,6,0,55
Franklin,,,34,20,1,0,55
Highgate,,,55,36,3,0,94
Richford,,,23,30,1,0,54
TOTALS,,,134,113,11,0,258
