City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,13,0,0,13
Whitingham,,,32,3,0,35
Wilmington,,,53,1,0,54
TOTALS,,,98,4,0,102
