City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,
Marlboro,,,70,6,0,76
Newfane,,,54,2,0,56
Townshend,,,54,1,0,55
TOTALS,,,178,9,0,187
