City/Town,Ward,Pct,"Stephanie R. Sterling",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bloomfield,,,10,4,0,14
Brunswick,,,2,0,0,2
Concord,,,26,8,0,34
Granby,,,4,0,0,4
Guildhall,,,8,2,0,10
Kirby,,,4,0,0,4
Lunenburg,,,7,9,0,16
Maidstone,,,5,0,0,5
Victory,,,3,0,0,3
TOTALS,,,69,23,0,92
