City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin","John K. Hall",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Coventry,,,60,42,26,1,0,129
Irasburg,,,31,31,18,0,0,80
"Newport City",,,135,108,75,2,0,320
"Newport Town",,,37,22,24,0,0,83
TOTALS,,,263,203,143,3,0,612
