City/Town,Ward,Pct,"Mary C. Ashcroft",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Rutland Town",-,"Elementary Sch",379,3,0,382
"Rutland Town",-,"Town Office",0,0,0,0
TOTALS,,,379,3,0,382
