City/Town,Ward,Pct,"Dennis J. Devereux",Write-Ins,Blanks,"Total Votes Cast"
,,,
Ludlow,,,40,2,0,42
"Mount Holly",,,29,1,0,30
Plymouth,,,11,0,0,11
TOTALS,,,80,3,0,83
