City/Town,Ward,Pct,"Brian E. Dubie",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,46,0,0,46
Albany,,,32,0,0,32
Alburgh,,,16,0,0,16
Andover,,,16,0,0,16
Arlington,,,50,0,0,50
Athens,,,5,0,0,5
Bakersfield,,,51,1,0,52
Baltimore,,,8,1,0,9
Barnard,,,20,0,0,20
Barnet,,,63,1,0,64
"Barre City",-,"Washington 3-1",74,0,0,74
"Barre City",-,"Washington 3-2",33,0,0,33
"Barre City",-,"Washington 3-3",10,0,0,10
"Barre Town",,,229,1,0,230
Barton,,,76,0,0,76
Belvidere,,,11,0,0,11
Bennington,-,"Bennington 2-1",40,0,0,40
Bennington,-,"Bennington 2-2",33,0,0,33
Bennington,-,"Bennington 5",8,0,0,8
Benson,,,22,0,0,22
Berkshire,,,31,0,0,31
Berlin,,,42,0,0,42
Bethel,,,37,1,0,38
Bloomfield,,,12,1,0,13
Bolton,,,14,0,0,14
Bradford,,,74,2,0,76
Braintree,,,49,0,0,49
Brandon,,,101,1,0,102
Brattleboro,-,"Windham 3-1",32,0,0,32
Brattleboro,-,"Windham 3-2",21,0,0,21
Brattleboro,-,"Windham 3-3",15,0,0,15
Bridgewater,,,18,0,0,18
Bridport,,,47,0,0,47
Brighton,,,39,0,0,39
Bristol,,,46,0,0,46
Brookfield,,,38,1,0,39
Brookline,,,13,0,0,13
Brownington,,,14,3,0,17
Brunswick,,,11,0,0,11
Burke,,,42,0,0,42
Burlington,-,"Chittenden 3-1",188,0,0,188
Burlington,-,"Chittenden 3-2",58,0,0,58
Burlington,-,"Chittenden 3-3",32,1,0,33
Burlington,-,"Chittenden 3-4",21,0,0,21
Burlington,-,"Chittenden 3-5",84,1,0,85
Burlington,-,"Chittenden 3-6",7,0,0,7
Cabot,,,17,0,0,17
Calais,,,23,0,0,23
Cambridge,,,36,0,0,36
Canaan,,,47,1,0,48
Castleton,,,33,0,0,33
Cavendish,,,23,0,0,23
Charleston,,,14,0,0,14
Charlotte,,,21,0,0,21
Chelsea,,,28,0,0,28
Chester,,,83,0,0,83
Chittenden,,,25,0,0,25
Clarendon,,,61,0,0,61
Colchester,-,"Chittenden 7-1",19,0,0,19
Colchester,-,"Chittenden 7-2",48,0,0,48
Concord,,,121,0,0,121
Corinth,,,31,0,0,31
Cornwall,,,20,1,0,21
Coventry,,,66,1,0,67
Craftsbury,,,28,3,0,31
Danby,,,90,0,0,90
Danville,,,100,0,0,100
Derby,,,83,0,0,83
Dorset,,,62,0,0,62
Dover,,,24,0,0,24
Dummerston,,,38,0,0,38
Duxbury,,,25,0,0,25
"E. Haven",,,15,0,0,15
"E. Montpelier",,,53,0,0,53
Eden,,,9,1,0,10
Elmore,,,11,0,0,11
Enosburgh,,,150,3,0,153
Essex,-,"Chittenden 6-1",59,0,0,59
Essex,-,"Chittenden 6-2",84,0,0,84
Essex,-,"Chittenden 6-3",15,0,0,15
"Fair Haven",,,37,0,0,37
Fairfax,,,65,0,0,65
Fairfield,,,20,0,0,20
Fairlee,,,35,0,0,35
Fayston,,,12,0,0,12
Ferrisburgh,,,30,0,0,30
Fletcher,,,7,0,0,7
Franklin,,,38,0,0,38
Georgia,,,71,0,0,71
Glover,,,41,3,0,44
Goshen,,,4,0,0,4
Grafton,,,13,0,0,13
Granby,,,16,0,0,16
"Grand Isle",,,43,1,0,44
Granville,,,5,0,0,5
Greensboro,,,16,0,0,16
Groton,,,51,0,0,51
Guildhall,,,38,0,0,38
Guilford,,,15,0,0,15
Halifax,,,12,0,0,12
Hancock,,,8,0,0,8
Hardwick,,,33,0,0,33
Hartford,-,"Windsor 6-1",15,0,0,15
Hartford,-,"Windsor 6-2",61,1,0,62
Hartland,,,49,0,0,49
Highgate,,,62,0,0,62
Hinesburg,-,"Chittenden 1-1",46,1,0,47
Hinesburg,-,"Chittenden 1-2",1,0,0,1
Holland,,,16,0,0,16
Hubbardton,,,13,1,0,14
Huntington,,,29,0,0,29
"Hyde Park",,,21,0,0,21
Ira,-,"Rutland Rutland 1-1",0,0,0,0
Ira,-,"Rutland Rutland 1-2",14,0,0,14
Irasburg,,,37,0,0,37
"Isle La Motte",,,8,0,0,8
Jamaica,,,22,0,0,22
Jay,,,7,0,0,7
Jericho,,,75,0,0,75
Johnson,,,12,0,0,12
Killington,,,19,0,0,19
Kirby,,,25,0,0,25
Leicester,,,50,0,0,50
Lemington,,,4,0,0,4
Lincoln,,,46,0,0,46
Londonderry,,,23,1,0,24
Lowell,,,28,0,0,28
Ludlow,,,41,0,0,41
Lunenburg,,,114,1,0,115
Lyndon,,,101,0,0,101
Maidstone,,,20,2,0,22
Manchester,,,83,0,0,83
Marlboro,,,10,1,0,11
Marshfield,,,18,1,0,19
Mendon,,,174,0,0,174
Middlebury,,,37,0,0,37
Middlesex,,,30,0,0,30
"Middletown Springs",,,15,0,0,15
Milton,-,"Chittenden 9",211,0,0,211
Milton,-,"Grand Isle-Chittenden 1-1",31,0,0,31
Monkton,,,24,0,0,24
Montgomery,,,5,0,0,5
Montpelier,,,111,2,0,113
Moretown,,,41,0,0,41
Morgan,,,19,0,0,19
Morristown,,,47,0,0,47
"Mount Holly",,,30,0,0,30
"Mount Tabor",,,2,0,0,2
"New Haven",,,19,0,0,19
Newark,,,26,1,0,27
Newbury,-,"Center Town House",45,1,0,46
Newbury,-,"Town Office",22,0,0,22
Newbury,-,"West River Village",16,0,0,16
Newfane,,,15,0,0,15
"Newport City",,,161,1,0,162
"Newport Town",,,43,0,0,43
"N. Hero",,,17,0,0,17
Northfield,,,73,1,0,74
Norton,,,15,0,0,15
Norwich,,,32,0,0,32
Orange,,,23,1,0,24
Orwell,,,29,0,0,29
Panton,,,11,0,0,11
Pawlet,,,25,0,0,25
Peacham,,,26,0,0,26
Peru,,,11,0,0,11
Pittsfield,,,23,2,0,25
Pittsford,,,34,1,0,35
Plainfield,,,13,0,0,13
Plymouth,,,11,0,0,11
Pomfret,,,20,0,0,20
Poultney,,,43,1,0,44
Pownal,,,27,0,0,27
Proctor,,,16,0,0,16
Putney,,,26,0,0,26
Randolph,,,181,4,0,185
Reading,,,12,0,0,12
Readsboro,,,17,1,0,18
Richford,,,31,0,0,31
Richmond,,,110,0,0,110
Ripton,,,4,0,0,4
Rochester,,,31,0,0,31
Rockingham,,,45,0,0,45
Roxbury,,,9,0,0,9
Royalton,,,47,0,0,47
Rupert,,,14,0,0,14
"Rutland City",-,"Rutland 5-1",75,0,0,75
"Rutland City",-,"Rutland 5-2",72,0,0,72
"Rutland City",-,"Rutland 5-3",41,2,0,43
