City/Town,Ward,Pct,"Ernest W. Shand",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cavendish,,,44,0,0,44
Weathersfield,,,87,1,0,88
TOTALS,,,131,1,0,132
