City/Town,Ward,Pct,"Gerald Woodard","Ruth Harvie",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Arlington,,,41,30,0,0,71
Bennington,-,"Bennington 2-1",31,25,1,0,57
Bennington,-,"Bennington 2-1 Nb",0,0,0,0,0
Bennington,-,"Bennington 2-2",25,23,2,0,50
Dorset,,,45,48,0,0,93
Manchester,,,61,55,3,0,119
Peru,,,5,10,2,0,17
Pownal,,,25,19,1,0,45
Readsboro,,,14,12,0,0,26
Rupert,-,"Bennington 5",6,6,0,0,12
Rupert,-,"Rutland 8",9,6,0,0,15
Sandgate,,,13,7,1,0,21
Searsburg,,,4,4,0,0,8
Shaftsbury,,,32,17,18,0,67
Stamford,,,4,5,0,0,9
Sunderland,,,11,11,0,0,22
Wilmington,,,27,25,1,0,53
Winhall,,,11,15,4,0,30
Woodford,,,9,6,0,0,15
TOTALS,,,373,324,33,0,730
