City/Town,Ward,Pct,"Rick Hube",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jamaica,,,22,1,0,23
Londonderry,,,28,0,0,28
Stratton,,,6,0,0,6
Weston,,,17,0,0,17
Winhall,,,22,1,0,23
TOTALS,,,95,2,0,97
