City/Town,Ward,Pct,"Eugene J. Bifano",Write-Ins,Blanks,"Total Votes Cast"
Northfield,,,55,5,0,60
Norton,,,8,6,0,14
Norwich,,,29,0,0,29
Orange,,,15,4,0,19
Orwell,,,23,4,0,27
Panton,,,10,0,0,10
Pawlet,,,15,2,0,17
Peacham,,,15,0,0,15
Peru,,,6,3,0,9
Pittsfield,,,13,9,0,22
Pittsford,,,27,3,0,30
Plainfield,,,7,1,0,8
Plymouth,,,6,2,0,8
Pomfret,,,14,3,0,17
Poultney,,,38,0,0,38
Pownal,,,20,1,0,21
Proctor,,,8,2,0,10
Putney,,,18,0,0,18
Randolph,,,140,5,0,145
Reading,,,11,0,0,11
Readsboro,,,12,3,0,15
Richford,,,22,2,0,24
Richmond,,,86,1,0,87
Ripton,,,3,0,0,3
Rochester,,,19,5,0,24
Rockingham,,,30,5,0,35
Roxbury,,,7,0,0,7
Royalton,,,34,4,0,38
Rupert,,,13,0,0,13
"Rutland City",-,"Rutland 5-1",39,4,0,43
"Rutland City",-,"Rutland 5-2",57,2,0,59
"Rutland City",-,"Rutland 5-3",24,0,0,24
"Rutland City",-,"Rutland 5-4",45,2,0,47
"Rutland Town",,,415,13,0,428
Ryegate,,,25,2,0,27
Salisbury,,,7,1,0,8
Sandgate,,,11,0,0,11
Searsburg,,,4,1,0,5
Shaftsbury,,,35,6,0,41
Sharon,,,12,3,0,15
Sheffield,,,6,2,0,8
Shelburne,-,"Chittenden 5-1",73,1,0,74
Shelburne,-,"Chittenden 5-2",38,5,0,43
Sheldon,,,18,11,0,29
Shoreham,,,23,1,0,24
Shrewsbury,,,46,1,0,47
"S. Burlington",-,"Chittenden 3-10",39,0,0,39
"S. Burlington",-,"Chittenden 3-7",45,2,0,47
"S. Burlington",-,"Chittenden 3-8",52,1,0,53
"S. Burlington",-,"Chittenden 3-9",45,6,0,51
"S. Hero",,,18,2,0,20
Springfield,-,"Windsor 1-1",2,1,0,3
Springfield,-,"Windsor 1-2",145,17,0,162
"St. Albans City",,,46,10,0,56
"St. Albans Town",,,64,9,0,73
"St. George",,,8,0,0,8
"St. Johnsbury",,,204,9,0,213
Stamford,,,5,0,0,5
Stannard,,,2,1,0,3
Starksboro,,,16,2,0,18
Stockbridge,,,5,2,0,7
Stowe,,,21,0,0,21
Strafford,,,5,0,0,5
Stratton,,,4,0,0,4
Sudbury,,,10,1,0,11
Sunderland,,,11,0,0,11
Sutton,,,16,7,0,23
Swanton,,,268,20,0,288
Thetford,,,19,1,0,20
Tinmouth,,,36,0,0,36
Topsham,,,26,3,0,29
Townshend,,,12,2,0,14
Troy,,,14,0,0,14
Tunbridge,,,25,7,0,32
Underhill,,,36,0,0,36
Vergennes,,,26,1,0,27
Vernon,,,48,9,0,57
Vershire,,,11,0,0,11
Victory,,,1,1,0,2
Waitsfield,,,41,2,0,43
Walden,,,12,1,0,13
Wallingford,,,50,1,0,51
Waltham,,,3,0,0,3
Wardsboro,,,4,0,0,4
Warren,,,15,3,0,18
Washington,,,14,1,0,15
Waterbury,,,44,4,0,48
Waterford,,,25,1,0,26
Waterville,,,4,0,0,4
Weathersfield,,,23,1,0,24
Wells,,,19,2,0,21
"W. Fairlee",,,12,0,0,12
"W. Haven",,,8,1,0,9
"W. Rutland",,,41,0,0,41
"W. Windsor",,,13,3,0,16
Westfield,,,10,6,0,16
Westford,,,17,2,0,19
Westminster,-,"Windham 4",0,0,0,0
Westminster,-,"Windham 5",43,2,0,45
Westmore,,,2,1,0,3
Weston,,,16,1,0,17
Weybridge,,,12,0,0,12
Wheelock,,,13,0,0,13
Whiting,,,5,1,0,6
Whitingham,,,8,0,0,8
Williamstown,,,24,3,0,27
Williston,,,46,0,0,46
Wilmington,,,28,0,0,28
Windham,,,4,0,0,4
Windsor,,,34,2,0,36
Winhall,,,15,3,0,18
Winooski,,,15,0,0,15
Wolcott,,,8,5,0,13
Woodbury,,,28,5,0,33
Woodford,,,8,0,0,8
Woodstock,,,38,1,0,39
Worcester,,,17,1,0,18
TOTALS,,,"7,817",702,0,"8,519"
