City/Town,Ward,Pct,"Bill Frank","George Till",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,48,45,0,0,93
Jericho,,,150,157,2,0,309
Underhill,,,130,123,1,0,254
TOTALS,,,328,325,3,0,656
