City/Town,Ward,Pct,"Chip Conquest",Write-Ins,Blanks,"Total Votes Cast"
,,,
Groton,,,29,0,0,29
Newbury,-,"Center Town House",52,2,0,54
Newbury,-,"Town Office",17,1,0,18
Newbury,-,"West River Village",26,0,0,26
Topsham,,,17,1,0,18
TOTALS,,,141,4,0,145
