City/Town,Ward,Pct,"Kitty Beattie Toll","Thomas J. Ashley",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Cabot,,,47,9,0,0,56
Danville,,,193,23,0,0,216
Peacham,,,78,10,1,0,89
TOTALS,,,318,42,1,0,361
