City/Town,Ward,Pct,"Michel Consejo","Gregory Gervais",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Sheldon,,,41,28,8,0,77
Swanton,,,98,93,12,0,203
TOTALS,,,139,121,20,0,280
