City/Town,Ward,Pct,"Carol R. Hosford","Carol Hosford R. Sch",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Fayston,,,29,0,1,0,30
Waitsfield,,,0,77,0,0,77
Warren,,,58,0,1,0,59
TOTALS,,,87,77,2,0,166
