City/Town,Ward,Pct,"Jeb Spaulding",Write-Ins,Blanks,"Total Votes Cast"
"S. Burlington",-,"Chittenden 3-8",195,0,0,195
"S. Burlington",-,"Chittenden 3-9",132,0,0,132
"S. Hero",,,54,0,0,54
Springfield,-,"Windsor 1-1",2,0,0,2
Springfield,-,"Windsor 1-2",806,1,0,807
"St. Albans City",,,118,0,0,118
"St. Albans Town",,,178,1,0,179
"St. George",,,15,0,0,15
"St. Johnsbury",,,133,1,0,134
Stamford,,,31,0,0,31
Stannard,,,12,0,0,12
Starksboro,,,53,0,0,53
Stockbridge,,,33,0,0,33
Stowe,,,42,1,0,43
Strafford,,,52,0,0,52
Stratton,,,4,0,0,4
Sudbury,,,19,1,0,20
Sunderland,,,19,0,0,19
Sutton,,,11,0,0,11
Swanton,,,125,0,0,125
Thetford,,,86,0,0,86
Tinmouth,,,61,0,0,61
Topsham,,,20,0,0,20
Townshend,,,55,1,0,56
Troy,,,23,0,0,23
Tunbridge,,,45,1,0,46
Underhill,,,147,0,0,147
Vergennes,,,39,0,0,39
Vernon,,,48,1,0,49
Vershire,,,28,3,0,31
Victory,,,4,0,0,4
Waitsfield,,,81,0,0,81
Walden,,,25,0,0,25
Wallingford,,,129,0,0,129
Waltham,,,7,0,0,7
Wardsboro,,,20,0,0,20
Warren,,,56,0,0,56
Washington,,,19,0,0,19
Waterbury,,,327,1,0,328
Waterford,,,10,0,0,10
Waterville,,,4,0,0,4
Weathersfield,,,78,4,0,82
Wells,,,17,0,0,17
"W. Fairlee",,,24,0,0,24
"W. Haven",,,5,0,0,5
"W. Rutland",,,65,0,0,65
"W. Windsor",,,39,0,0,39
Westfield,,,12,0,0,12
Westford,,,49,0,0,49
Westminster,-,"Windham 4",12,0,0,12
Westminster,-,"Windham 5",374,3,0,377
Westmore,,,10,0,0,10
Weston,,,30,0,0,30
Weybridge,,,33,0,0,33
Wheelock,,,16,1,0,17
Whiting,,,17,0,0,17
Whitingham,,,36,0,0,36
Williamstown,,,25,0,0,25
Williston,,,181,1,0,182
Wilmington,,,47,0,0,47
Windham,,,30,0,0,30
Windsor,,,83,1,0,84
Winhall,,,13,1,0,14
Winooski,,,106,0,0,106
Wolcott,,,56,0,0,56
Woodbury,,,50,0,0,50
Woodford,,,12,0,0,12
Woodstock,,,143,0,0,143
Worcester,,,55,0,0,55
TOTALS,,,"19,863",67,0,"19,930"
