City/Town,Ward,Pct,"Sue Minter","Tom Stevens","Gordon W. Miller",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Duxbury,,,82,70,13,3,0,168
Huntington,,,165,90,79,0,0,334
Waterbury,,,346,280,62,3,0,691
TOTALS,,,593,440,154,6,0,"1,193"
