City/Town,Ward,Pct,"John S. Rodgers",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,25,14,0,39
Barton,,,47,50,0,97
Craftsbury,,,53,30,0,83
Glover,,,42,25,0,67
Greensboro,,,39,40,0,79
Sheffield,,,8,6,0,14
Wheelock,,,13,7,0,20
TOTALS,,,227,172,0,399
