City/Town,Ward,Pct,"Peg Coutermarsh",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,26,56,0,82
Fairlee,,,29,10,0,39
"W. Fairlee",,,14,0,0,14
TOTALS,,,69,66,0,135
