City/Town,Ward,Pct,"Jim Black",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,10,0,0,10
Cambridge,,,25,4,0,29
Elmore,,,9,1,0,10
"Hyde Park",,,17,3,0,20
Johnson,,,8,2,0,10
Morristown,,,46,1,0,47
Stowe,,,28,0,0,28
Waterville,,,5,1,0,6
TOTALS,,,148,12,0,160
