City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,78,82,6,0,166
Lincoln,,,78,74,3,0,155
Monkton,,,43,38,0,0,81
Starksboro,,,52,50,1,0,103
TOTALS,,,251,244,10,0,505
