City/Town,Ward,Pct,"Thomas W. Costello","Nate Freeman",Write-Ins,Blanks,"Total Votes Cast"
Orwell,,,11,17,4,0,32
Panton,,,8,4,0,0,12
Pawlet,,,33,11,2,0,46
Peacham,,,33,21,0,0,54
Peru,,,8,12,0,0,20
Pittsfield,,,2,12,1,0,15
Pittsford,,,40,20,2,0,62
Plainfield,,,27,25,0,0,52
Plymouth,,,6,4,0,0,10
Pomfret,,,22,15,0,0,37
Poultney,,,25,12,0,0,37
Pownal,,,59,16,2,0,77
Proctor,,,48,15,0,0,63
Putney,,,306,79,10,0,395
Randolph,,,66,92,4,0,162
Reading,,,26,7,0,0,33
Readsboro,,,17,4,1,0,22
Richford,,,25,18,2,0,45
Richmond,,,150,100,4,0,254
Ripton,,,19,11,0,0,30
Rochester,,,37,27,3,0,67
Rockingham,,,162,42,9,0,213
Roxbury,,,9,21,0,0,30
Royalton,,,26,26,2,0,54
Rupert,,,23,13,0,0,36
"Rutland City",-,"Rutland 5-1",135,15,1,0,151
"Rutland City",-,"Rutland 5-2",103,15,1,0,119
"Rutland City",-,"Rutland 5-3",65,13,0,0,78
"Rutland City",-,"Rutland 5-4",65,18,0,0,83
"Rutland Town",,,287,69,5,0,361
Ryegate,,,18,13,0,0,31
Salisbury,,,12,8,1,0,21
Sandgate,,,17,8,0,0,25
Searsburg,,,2,2,1,0,5
Shaftsbury,,,84,34,4,0,122
Sharon,,,19,16,0,0,35
Sheffield,,,4,5,1,0,10
Shelburne,-,"Chittenden 5-1",103,70,23,0,196
Shelburne,-,"Chittenden 5-2",58,27,2,0,87
Sheldon,,,14,10,10,0,34
Shoreham,,,16,15,0,0,31
Shrewsbury,,,86,45,2,0,133
"S. Burlington",-,"Chittenden 3-10",86,35,2,0,123
"S. Burlington",-,"Chittenden 3-7",117,50,2,0,169
"S. Burlington",-,"Chittenden 3-8",119,65,3,0,187
"S. Burlington",-,"Chittenden 3-9",78,40,5,0,123
"S. Hero",,,40,15,3,0,58
Springfield,-,"Windsor 1-1",0,2,0,0,2
Springfield,-,"Windsor 1-2",543,189,24,0,756
"St. Albans City",,,69,32,7,0,108
"St. Albans Town",,,82,66,13,0,161
"St. George",,,59,16,2,0,77
"St. Johnsbury",,,65,51,4,0,120
Stamford,,,20,8,0,0,28
Stannard,,,8,5,0,0,13
Starksboro,,,32,23,1,0,56
Stockbridge,,,12,19,0,0,31
Stowe,,,28,20,0,0,48
Strafford,,,29,16,0,0,45
Stratton,,,4,1,0,0,5
Sudbury,,,8,13,0,0,21
Sunderland,,,11,7,0,0,18
Sutton,,,4,5,0,0,9
Swanton,,,62,41,12,0,115
Thetford,,,36,37,3,0,76
Tinmouth,,,29,24,1,0,54
Topsham,,,9,12,0,0,21
Townshend,,,35,17,4,0,56
Troy,,,11,10,1,0,22
Tunbridge,,,15,27,1,0,43
Underhill,,,97,49,1,0,147
Vergennes,,,25,10,3,0,38
Vernon,,,37,9,7,0,53
Vershire,,,12,17,3,0,32
Victory,,,1,2,0,0,3
Waitsfield,,,22,44,1,0,67
Walden,,,9,15,1,0,25
Wallingford,,,98,34,1,0,133
Waltham,,,3,6,0,0,9
Wardsboro,,,13,4,1,0,18
Warren,,,17,36,0,0,53
Washington,,,5,13,2,0,20
Waterbury,,,136,110,6,0,252
Waterford,,,3,4,0,0,7
Waterville,,,1,3,0,0,4
Weathersfield,,,58,16,6,0,80
Wells,,,15,4,0,0,19
"W. Fairlee",,,12,10,0,0,22
"W. Haven",,,3,3,0,0,6
"W. Rutland",,,54,14,0,0,68
"W. Windsor",,,21,13,1,0,35
Westfield,,,6,4,3,0,13
Westford,,,20,22,1,0,43
Westminster,-,"Windham 4",9,3,1,0,13
Westminster,-,"Windham 5",290,79,7,0,376
Westmore,,,5,5,0,0,10
Weston,,,26,3,0,0,29
Weybridge,,,17,13,1,0,31
Wheelock,,,8,4,2,0,14
Whiting,,,14,1,1,0,16
Whitingham,,,33,4,0,0,37
Williamstown,,,12,10,0,0,22
Williston,,,116,65,3,0,184
Wilmington,,,39,13,1,0,53
Windham,,,18,10,0,0,28
Windsor,,,57,23,1,0,81
Winhall,,,15,4,0,0,19
Winooski,,,70,30,4,0,104
Wolcott,,,26,18,8,0,52
Woodbury,,,16,25,5,0,46
Woodford,,,13,1,0,0,14
Woodstock,,,92,44,0,0,136
Worcester,,,24,24,0,0,48
TOTALS,,,"11,966","6,676",614,0,"19,256"
