City/Town,Ward,Pct,"Eileen Haupt","Bob Scudero",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,12,13,0,0,25
Jericho,,,68,53,0,0,121
Underhill,,,48,43,1,0,92
TOTALS,,,128,109,1,0,238
