City/Town,Ward,Pct,"James L. McNeil",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Rutland Town",-,"Elementary Sch",607,8,0,615
"Rutland Town",-,"Town Office",0,0,0,0
TOTALS,,,607,8,0,615
