City/Town,Ward,Pct,"Patsy French","Jim Hutchinson",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,34,19,5,0,58
Brookfield,,,31,20,4,0,55
Granville,,,5,1,0,0,6
Randolph,,,171,95,35,0,301
TOTALS,,,241,135,44,0,420
