City/Town,Ward,Pct,"Stan Wilbur","R. F. Emerick",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Shrewsbury,,,35,18,2,0,55
Tinmouth,,,44,20,0,0,64
Wallingford,,,52,14,0,0,66
TOTALS,,,131,52,2,0,185
