City/Town,Ward,Pct,"Patricia M. Sears",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jay,,,7,2,0,9
Lowell,,,6,11,0,17
Montgomery,,,21,3,0,24
Troy,,,16,4,0,20
Westfield,,,11,4,0,15
TOTALS,,,61,24,0,85
