City/Town,Ward,Pct,"Margaret Cheney","Jim Masland",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Norwich,,,238,216,0,0,454
Sharon,,,35,38,0,0,73
Strafford,,,50,50,0,0,100
Thetford,,,75,90,0,0,165
TOTALS,,,398,394,0,0,792
