City/Town,Ward,Pct,"Bernie Henault",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brighton,,,6,3,0,9
Canaan,,,13,1,0,14
"E. Haven",,,8,0,0,8
Newark,,,12,0,0,12
Norton,,,3,0,0,3
Westmore,,,8,1,0,9
TOTALS,,,50,5,0,55
