City/Town,Ward,Pct,"Lucy Leriche",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,51,0,0,51
Stannard,,,12,0,0,12
Walden,,,27,0,0,27
TOTALS,,,90,0,0,90
