City/Town,Ward,Pct,"Steve Smith","Jonathan W. Pelosi",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burke,,,23,16,0,0,39
Lyndon,,,47,37,0,0,84
Sutton,,,11,7,0,0,18
TOTALS,,,81,60,0,0,141
