City/Town,Ward,Pct,"Megan Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,23,0,0,23
Chittenden,,,32,1,0,33
Killington,,,22,0,0,22
Mendon,,,123,1,0,124
TOTALS,,,200,2,0,202
