City/Town,Ward,Pct,"John Heffernan","Barbara Rainville",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,44,35,2,0,81
Lincoln,,,36,36,0,0,72
Monkton,,,18,17,2,0,37
Starksboro,,,19,18,1,0,38
TOTALS,,,117,106,5,0,228
