City/Town,Ward,Pct,"Scott Wheeler","Robert W. Lewis",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,13,10,6,0,29
Charleston,,,13,14,6,0,33
Derby,,,73,63,11,0,147
Holland,,,15,15,0,0,30
Morgan,,,15,14,0,0,29
TOTALS,,,129,116,23,0,268
