City/Town,Ward,Pct,"Jocelyn Stohl","Stewart Skrill","John P. Rotter",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Braintree,,,43,31,15,4,0,93
Brookfield,,,29,30,16,3,0,78
Granville,,,4,2,2,0,0,8
Randolph,,,106,108,113,7,0,334
TOTALS,,,182,171,146,14,0,513
