City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Castleton,,,32,33,0,0,65
"Fair Haven",,,36,31,2,0,69
Hubbardton,,,12,14,1,0,27
"W. Haven",,,7,8,0,0,15
TOTALS,,,87,86,3,0,176
