City/Town,Ward,Pct,"Mark Higley",Write-Ins,Blanks,"Total Votes Cast"
,,,
Jay,,,6,1,0,7
Lowell,,,32,2,0,34
Montgomery,,,4,0,0,4
Troy,,,16,0,0,16
Westfield,,,14,4,0,18
TOTALS,,,72,7,0,79
