City/Town,Ward,Pct,"Shap Smith","Peter Peltz",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Elmore,,,37,28,0,0,65
Morristown,,,86,71,0,0,157
Woodbury,,,43,50,0,0,93
Worcester,,,52,53,0,0,105
TOTALS,,,218,202,0,0,420
