City/Town,Ward,Pct,"Richard J. Howrigan","Greg Christie","George Allard","David Abell McWilliams",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,
Fairfield,,,120,51,52,13,4,0,240
Fletcher,,,19,15,12,13,0,0,59
"St. Albans Town",,,105,90,86,103,6,0,390
TOTALS,,,244,156,150,129,10,0,689
