City/Town,Ward,Pct,"William F. Johnson","Maurice G. Connary",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brighton,,,26,17,0,0,43
Canaan,,,52,1,0,0,53
"E. Haven",,,7,6,0,0,13
Lemington,,,5,0,0,0,5
Newark,,,24,5,0,0,29
Norton,,,12,3,0,0,15
Westmore,,,3,1,0,0,4
TOTALS,,,129,33,0,0,162
