City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,"Total Votes Cast"
,,,
Calais,,,82,1,0,83
Marshfield,,,59,2,0,61
Plainfield,,,56,0,0,56
TOTALS,,,197,3,0,200
