City/Town,Ward,Pct,"Melissa Pettersson","Frank Davis",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,8,8,2,0,18
Charleston,,,15,14,1,0,30
Derby,,,56,50,16,0,122
Holland,,,5,5,1,0,11
Morgan,,,17,11,2,0,30
TOTALS,,,101,88,22,0,211
