City/Town,Ward,Pct,"Lucien G. Gravel",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,19,1,0,20
Wolcott,,,15,4,0,19
TOTALS,,,34,5,0,39
