City/Town,Ward,Pct,"Linda J. Martin",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Hyde Park",,,36,1,0,37
Wolcott,,,60,0,0,60
TOTALS,,,96,1,0,97
