City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,10,0,0,10
Cambridge,,,36,0,0,36
Waterville,,,6,1,0,7
TOTALS,,,52,1,0,53
