City/Town,Ward,Pct,"Dennis A. Williams","Mike Manahan",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bakersfield,,,20,13,6,0,39
Enosburgh,,,33,19,10,0,62
TOTALS,,,53,32,16,0,101
