City/Town,Ward,Pct,"Bill Aswad","Joanna Cole","Susan Wheeler",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Burlington,,,342,234,227,2,0,805
TOTALS,,,342,234,227,2,0,805
