City/Town,Ward,Pct,"Kathy Pellett",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,20,0,0,20
Baltimore,,,16,0,0,16
Chester,,,148,4,0,152
Springfield,,,1,0,0,1
TOTALS,,,185,4,0,189
