City/Town,Ward,Pct,"Michael J. Obuchowski","Carolyn W. Partridge",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,12,11,0,0,23
Brookline,,,19,19,0,0,38
Grafton,,,23,24,0,0,47
Rockingham,,,226,200,2,0,428
Westminster,,,16,11,0,0,27
Windham,,,28,29,0,0,57
TOTALS,,,324,294,2,0,620
