City/Town,Ward,Pct,"Anne B. Donahue","Anthony J. Vach",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Moretown,,,36,23,1,0,60
Northfield,,,69,45,2,0,116
Roxbury,,,8,6,0,0,14
TOTALS,,,113,74,3,0,190
