City/Town,Ward,Pct,"Gregory Clark","Kitty Oxholm",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,44,40,1,0,85
Ferrisburgh,,,29,28,0,0,57
Panton,,,10,10,0,0,20
Vergennes,,,38,32,1,0,71
Waltham,,,4,4,0,0,8
TOTALS,,,125,114,2,0,241
