City/Town,Ward,Pct,"Dave Potter","Barbara T. Carris","Ian C. Akin",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Clarendon,,,80,65,47,0,0,192
Ira,,,15,11,5,0,0,31
Proctor,,,44,48,22,0,0,114
"W. Rutland",,,59,70,14,1,0,144
TOTALS,,,198,194,88,1,0,481
