City/Town,Ward,Pct,"Joseph Baker","Mark Fitzgerald",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Clarendon,,,54,43,5,0,102
Ira,,,10,12,0,0,22
Proctor,,,12,11,2,0,25
"W. Rutland",,,49,38,0,0,87
TOTALS,,,125,104,7,0,236
