City/Town,Ward,Pct,"Jay A. Jurkoic",Write-Ins,Blanks,"Total Votes Cast"
,,,
Ludlow,,,53,1,0,54
"Mount Holly",,,50,2,0,52
Plymouth,,,14,0,0,14
TOTALS,,,117,3,0,120
