City/Town,Ward,Pct,"Richard ""Dick"" Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican
Colchester,-,"Chittenden 9-1","2,920",21,47,"3,389"
Colchester,-,"Chittenden 9-2","3,960",23,546,"4,591"
"Grand Isle",,,"1,062",16,121,"1,201"
"Isle La Motte",,,259,5,45,310
"N. Hero",,,562,8,64,634
"S. Hero",,,"1,008",9,128,"1,148"
TOTALS,,,"9,771",82,951,"11,273"
