City/Town,Ward,Pct,"Marcia Robinson Martel",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican
Barnet,,,706,38,1,0,745
Ryegate,,,438,25,106,2,571
Waterford,,,655,6,79,3,743
TOTALS,,,"1,799",69,186,5,"2,059"
